"September 25, 2023 at 07:03AM",GPUs Transformed AI. Now They’re Here For Quantum.,"While quantum hardware remains immature, companies say they found another way to put complex quantum algorithms to work: running them on the same chips used for powering artificial intelligence. Copyright ©2023 Dow Jones & Company, Inc. All Rights Reserved. 87990cbe856818d5eddac44c7b1cdeb8",,qc,https://www.wsj.com/articles/gpus-transformed-ai-now-theyre-here-for-quantum-b4ecbeeb
"September 25, 2023 at 10:39AM",QubitSolve Awarded Competitive Grant from the U.S. National Science Foundation,"R&D funding accelerates the development of computational fluid dynamics software for quantum computers. MORGANTOWN, W.Va., /PRNewswire-PRWeb/ -- QubitSolve Inc. has been awarded a U.S.",,qc,https://www.prweb.com/releases/qubitsolve-awarded-competitive-grant-from-the-us-national-science-foundation-301936255.html
"September 25, 2023 at 04:35PM",Global investment in quantum technology reaches historic high,"The quantum technology industry is growing at a remarkable rate and investments in the potentially ground-breaking technology are at an all-time high. While excitement is growing, quantum technology still has a long way to go and there is some concern that the industry may be over-hyped.",,qc,https://www.consultancy-me.com/news/6832/global-investment-in-quantum-technology-reaches-historic-high
"September 25, 2023 at 09:30PM",Practice quantum programming with the new PennyLane Challenges | PennyLane Blog,,,qc,https://pennylane.ai/blog/2023/09/introducing-pennylane-challenges/?utm_source=twitter&utm_medium=pennylane_social&utm_campaign=challenges_launch&s=09
"September 25, 2023 at 11:16PM",,,,qc,
"September 26, 2023 at 08:59PM",This Quantum Computing Startup Is Taking On Google And IBM With A Fresh Technical Approach,A,,qc,https://www.forbes.com/sites/rashishrivastava/2023/09/25/this-quantum-computing-startup-is-taking-on-google-and-ibm-with-a-fresh-technical-approach/
"September 27, 2023 at 03:33PM",Build utility-scale quantum applications with the updated Open Plan and IBM Quantum Credits,"Quantum computers have achieved a scale where they can now explore challenging problems beyond exact classical solutions. Now, our community of researchers and developers can begin using these utility-scale systems, with our updated Open Plan and through new IBM Quantum Credits.",,qc,https://research.ibm.com/blog/utility-scale-quantum-credits
"September 27, 2023 at 05:14PM","Quantum Computing in Automotive Market worth $5,203 million by 2035 – Exclusive Report by MarketsandMarkets™","Chicago, Sept. 26, 2023 (GLOBE NEWSWIRE) -- Quantum Computing in Automotive Market is projected to grow from USD 143 million in 2026 to USD 5,203 million by 2035, at a CAGR of 49.0% from 2026 to 2035, according to a new report by MarketsandMarkets™. ",,qc,https://www.globenewswire.com/news-release/2023/09/26/2749879/0/en/Quantum-Computing-in-Automotive-Market-worth-5-203-million-by-2035-Exclusive-Report-by-MarketsandMarkets.html
"September 27, 2023 at 05:14PM",Tech Giants Launch Post-Quantum Cryptography Coalition,"The PQC Coalition features Microsoft, IBM, MITRE, PQShield, SandboxAQ and the University of Waterloo among its founding members. The goal will be to improve uptake of PQC in commercial and open source technologies.",,qc,https://www.infosecurity-magazine.com/news/tech-giants-postquantum/
"September 27, 2023 at 06:55PM","IonQ Unveils Forte Enterprise and Tempo, Rack-Mounted Enterprise-Grade Quantum Computers for Today’s Data Center Environments","IonQ provides the most viable, practical, and fastest path to commercial advantage with IonQ Forte Enterprise, an #AQ 35 quantum computer, and IonQ Tempo expected to demonstrate record-breaking #AQ 64 COLLEGE PARK, Md.",,qc,https://finance.yahoo.com/news/ionq-unveils-forte-enterprise-tempo-142000669.html
"September 28, 2023 at 06:58AM",Qiskit Global Summer School 2023,The Qiskit Global Summer School 2023 was a two-week intensive summer program designed to empower the quantum researchers and developers of tomorrow with the ...,,qc,https://www.youtube.com/playlist?list=PLOFEBzvs-VvqoeIypXYLLf0PY-WOQMLR3
"September 28, 2023 at 07:03AM",What’s the Difference Between Today’s Cryptography and Post-Quantum Cryptography?,"Cryptography, or the study of securing our data, is the only reason our digital world expanded as it did. We use cryptographic algorithms to keep our data safe when we are online. But here's the catch - the rise of quantum computing could shake things up and completely destroy online security.",,qc,https://www.btq.com/blog/difference-between-cryptography-post-quantum-cryptography
"September 28, 2023 at 07:05AM",A new kind of chip for quantum technology,An optical image of the electrically controlled coupled cavity array in the team's silicon photonic chip. The image depicts the wiring structure and optical micrograph of the coupled cavity array.,,qc,https://phys.org/news/2023-09-kind-chip-quantum-technology.html
"September 28, 2023 at 01:33PM",New spin-squeezing techniques let atoms work together for better quantum measurements,"Higher accuracy atomic clocks, such as the “tweezer clock” depicted here, could result from linking or “entangling” atoms in a new way through a method known as “spin squeezing,” in which one property of an atom is measured more precisely than is usually allowed in quantum mechanics by d",,qc,https://phys.org/news/2023-09-spin-squeezing-techniques-atoms-quantum.html
"September 28, 2023 at 04:02PM",Fault-Tolerant One-Bit Addition with the Smallest Interesting Colour Code,"Fault-tolerant operations based on stabilizer codes are the state of the art in suppressing error rates in quantum computations. Most such codes do not permit a straightforward implementation of non-Clifford logical operations, which are necessary to define a universal gate set. As a result, implementations of these operations must either use error-correcting codes with more complicated error correction procedures or gate teleportation and magic states, which are prepared at the logical level, increasing overhead to a degree that precludes near-term implementation. In this work, we implement a small quantum algorithm, one-qubit addition, fault-tolerantly on the Quantinuum H1-1 quantum computer, using the [[8,3,2]] colour code. By removing unnecessary error-correction circuits and using low-overhead techniques for fault-tolerant preparation and measurement, we reduce the number of error-prone two-qubit gates and measurements to 36. We observe arithmetic errors with a rate of $\sim 1.1 \times 10^{-3}$ for the fault-tolerant circuit and $\sim 9.5 \times 10^{-3}$ for the unencoded circuit.",,qc,https://scirate.com/arxiv/2309.09893
"September 28, 2023 at 04:11PM",Solving a Sudoku as a Coloring Problem using Qiskit and QAOA,"Dive into the innovative realm where Sudoku puzzles meet quantum computing. Discover how Qiskit and QAOA can transform a classic game into a colorful quantum challenge. Sudoku, a logic-based number-placement puzzle, has entertained and challenged individuals for decades.",,qc,https://morcu.medium.com/solving-a-sudoku-as-a-coloring-problem-using-qiskit-and-qaoa-ef27720a85b0
"September 28, 2023 at 04:14PM",Redstone announces quantum push with new €52m VC fund,"European investor Redstone has closed €20m of a new €52m fund targeting startups focused on quantum technology.  The fund, which expects a second close within the next six months, will back seed to Series A companies and focus on quantum computing, sensing and communications.",,qc,https://sifted.eu/articles/redstone-quantum-fund-news/
"September 28, 2023 at 09:29PM",PsiQuantum targets first commercial quantum computer in under six years,"Sept 28 (Reuters) - PsiQuantum is aiming to deliver its first commercial quantum computing system in under six years, its CEO said as the startup announced a partnership with the U.S. Department of Energy to develop advanced fridges for its machines.",,qc,https://www.reuters.com/technology/psiquantum-targets-first-commercial-quantum-computer-under-six-years-2023-09-28/
"September 29, 2023 at 06:47AM",IonQ Announces New $25.5M Quantum Deal with United States Air Force Research Lab,"Deal solidifies public-private relationship advancing quantum science and U.S. national security interests COLLEGE PARK, Md.",,qc,https://finance.yahoo.com/news/ionq-announces-25-5m-quantum-152100488.html
"September 29, 2023 at 09:03AM",,,,qc,https://www.miragenews.com/munich-emerges-as-quantum-computing-software-1094620/
"September 30, 2023 at 08:44AM",Quantum repeaters use defects in diamond to interconnect quantum systems,"A packaged prototype quantum repeater module (center), mounted on a gold-plated copper assembly and connected to printed circuit boards (green), features eight optical memories that store qubits in a silicon atom in diamond.",,qc,https://phys.org/news/2023-09-quantum-defects-diamond-interconnect.html
"September 30, 2023 at 08:46AM",Cloudflare now uses post-quantum cryptography to talk to your origin server,Quantum computers pose a serious threat to security and privacy of the Internet: encrypted communication intercepted today can be decrypted in the future by a sufficiently advanced quantum computer.,,qc,https://blog.cloudflare.com/post-quantum-to-origins/
"September 30, 2023 at 03:25PM",Using an RPU for High Frequency Trading in the cloud – Quside,"[1] Yutaka Sakurai, Yusuke Yuki, Ryota Katsuki, Takashi Yazane, and Fumio Ishizaki. Correlation diversified passive portfolio strategy based on permutation of assets. SSRN Electronic Journal, November 2019 [2] K Hukushima, Y Iba, and Y Iba. Population annealing and its application to a spin glass.",,qc,https://quside.com/case/using-a-rpu-for-high-frequency-trading-in-the-cloud/
