URL,Summary,Image_URL
https://www.nature.com/articles/d41586-023-02681-8,"The excitement about the potential world-changing properties of superconducting material LK-99 has waned after it was determined not to be a superconductor. Superconductors are materials that carry electric currents without resistance or waste heat, but currently require extremely low temperatures or high pressures. If room-temperature superconductors can be developed, they would have a significant impact on various scientific fields, particularly those requiring strong magnetic fields. Current quantum computing applications like the Large Hadron Collider at CERN in Europe use a large scale cryogenic system to keep the superconducting components close to absolute zero. Japanese physicist Yasunobu Nakamura, a co-inventor of superconducting quantum computing, explains that this is crucial as quantum calculations are extremely sensitive to thermal noise. Also, a superconductor's ability to carry certain amounts of current or be exposed to high magnetic fields is temperature dependent. Therefore, even if a room-temperature superconductor is developed, it may still need to be kept at low temperatures for certain applications. However, this room-temperature superconductor remains a necessary advancement for future technological leaps, including the development of a more powerful particle collider at CERN.","https://pubads.g.doubleclick.net/gampad/ad?iu=/285/nature.com/article&sz=728x90&c=-415139863&t=pos%3Dtop%26type%3Darticle%26artid%3Dd41586-023-02681-8%26doi%3D10.1038/d41586-023-02681-8%26subjmeta%3D119,419,559,639,703,706,766%26kwrd%3DCondensed-matter+physics,Particle+physics,Technology"
https://quantumcomputing.stackexchange.com/questions/34011/did-d-wave-show-quantum-advantage-in-2023,"In 2023, D-Wave reportedly showcased a quantum advantage through quantum annealing in a study it published. The team used a D-Wave system to calculate the ground state of a 3-D spin-glass Hamiltonian, with quantum annealing solving many instances of small 3D spin glass models (16 particles) and a single large one (128 particles). The study suggested that quantum annealing provided the same “good enough” solution 10-20x faster than conventional methods, indicating quantum advantage for specific applications. Google's quantum group, led by Hartmut Neven, had previously demonstrated a quantum advantage using an earlier version of D-Wave hardware in 2016. Billions of smaller problems were solved exponentially faster using the quantum hardware than using classical computers. Despite these advancements, critics assert that quantum computing has yet to address real-world problems the broader public need solving.",
https://quantumzeitgeist.com/quantum-support-vector-classifier-algorithm-revolutionises-medical-data-classification/,"A Quantum Machine Learning Model for Medical Data Classification, developed by researchers Hamza Kamel Ahmed, Baraa Tantawi, Malak Magdy, and Gehad Ismail Sayed, explores the potential use of the Quantum Support Vector Classifier algorithm (QSVC) in the healthcare sector. The QSVC showed high classification outcomes when tested on ten datasets from the UCI machine learning repository, indicating its potential in improving medical data classification. Despite promising results, the challenge remains to develop quick, precise, and efficient models suitable for medical usage. The efficient application of the QSVC could potentially enhance diagnoses and treatments, improving patient outcomes.",https://149860134.v2.pressablecdn.com/wp-content/themes/quantumtheme/images/cropped-QuantumZ.png
https://www.linkedin.com/safety/go?messageThreadUrn=urn%3Ali%3AmessageThreadUrn%3A&url=https%3A%2F%2Fwww.rcrwireless.com%2F20230901%2Fcarriers%2Fdeutsche-telekom-opens-quantum-lab-berlin&trk=flagship-messaging-android,,
https://www.innovationnewsnetwork.com/quantum-randomness-why-its-essential-for-securing-the-connected-future/36871/,"The UK government declared quantum technologies as national priority, highlighting its potential in spheres like cybersecurity, faster computing, superior navigation systems, and precise sensing. Ramy Shelbaya, CEO of Quantum Dice, emphasized the role of Quantum Random Number Generators (QRNGs) in bolstering cybersecurity, given the stochastic nature of quantum computers. Randomness is crucial to encryption as it makes keys harder to hack or predict, offering robust security. Regular cybersecurity systems, however, fail to achieve verifiable randomness due to their reliance on classical computing processors. Quantum mechanics can enable true randomness by leveraging the unpredictable nature of measurements like spin of electrons or perception of photons. Quantum Dice offers QRNGs featuring a unique Device Independent Self-Certification (DISC), offering continuous security checks to ensure random number generation.
",https://www.innovationnewsnetwork.com/wp-content/uploads/2020/01/inn-logo-mobile-222x48-main-white-01.png
https://arxiv.org/abs/2308.15475v1,"A research group consisting of Alejandro Gomez Cadavid, Iraitz Montalban, Archismita Dalal, Enrique Solano, and Narendra N. Hegade have developed a new, faster digital quantum algorithm for portfolio optimization named the digitized-counterdiabatic quantum optimization (DCQO) paradigm. This faster algorithm operates within the impulse regime where the counterdiabatic terms are dominant, allowing for reductions in circuit depth requirement and enhanced solution accuracy. The group demonstrated the benefits of this on IonQ's trapped-ion quantum computer using up to 20 qubits. The method achieves a reduction in circuit depth by factors of 2.5 to 40 when benchmarked against standard quantum approximate optimization algorithms. It is applicable to a wide range of combinatorial optimization problems beyond portfolio optimization. This algorithm was proposed in a paper supported by the Simons Foundation, along with various member institutions and contributors.",
https://scitechdaily.com/?p=304889,"Researchers at QuTech, a collaboration between the Delft University of Technology and TNO, have made a significant breakthrough by developing a scalable and efficient method to address many quantum dots using a few control lines in a quantum system. The new approach, likened to a chessboard, enables the operation of the largest gate-defined quantum dot system ever and can potentially scale the number of qubits in quantum systems. The groundbreaking protocol could make quantum computing more practical, addressing each quantum dot with a combination of horizontal and vertical lines, similar to a chessboard's letter-number coordination. The team successfully operated a 16 quantum dot system in a 4X4 array. The achieved qubit operation fidelity was a record 99.992%. The team also suggested that germanium quantum dot systems could be a highly effective route for quantum simulation. Future work will explore how large these chessboard circuits can be and the possibility of interconnecting many using quantum links to build even larger circuits.
","data:image/svg+xml,%3Csvg%20xmlns=%22http://www.w3.org/2000/svg%22%20width=%22339%22%20height=%2250%22%3E%3C/svg%3E"
https://www.einnews.com/pr_news/653345696/q-ctrl-diraq-partner-to-secure-millions-for-three-public-sector-quantum-projects,"Two Australian quantum technology companies, Q-CTRL and Diraq, have partnered to work on three multi-million-dollar projects aimed at expanding the commercial adoption of quantum computing. The projects are funded by the New South Wales (NSW) Office of the Chief Scientist and Engineer’s Quantum Computing Commercialisation Fund (QCCF) and the U.S. Army Research Office. The collaboration marks an initial phase of a prospective partnership aimed at providing new quantum computing capabilities to the global market. Diraq will develop and provide its Silicon quantum computing hardware, while Q-CTRL will build and integrate its quantum infrastructure software solutions. The partnership underscores Australia’s leading role in the global quantum technology industry and aligns with the government's National Quantum Strategy.",https://img.einnews.com/medium/364473/q-ctrl-logo.png
https://www.scientific-computing.com/article/ethics-quantum-computing,"Quantum computing company QuEra Computing warns that the technology could further deepen global socio-economic divides due to the limits in resource allocation and potential misuse of power, which could break many existing encryption schemes. The complexity of quantum algorithms may lead to problems with transparency and accountability, and the technology could displace jobs currently performed by humans. To combat these issues, various organizations, including the World Economic Forum and the National Academies of Sciences, Engineering, and Medicine, have begun developing ethical frameworks for quantum computing. Further, QuEra is in favor of solutions including the creation of a multinational ""World Quantum Organization"" that provides shared quantum resources.",https://www.scientific-computing.com/sites/default/files/styles/content_banner/public/2023-09/Gorodenkoff%20shutterstock_2030685833.jpg?h=832350b5&itok=Vf1wzckx
https://www.innovationnewsnetwork.com/how-quantum-computing-will-revolutionise-future-financial-modelling/37019/,"Quantum computing is rapidly moving from the realm of theoretical physics and science fiction to practical application, including use in robust financial modelling. This technology is viewed as a game changer for simulating market behaviors and optimising investment strategies, a field where traditional computational methods have sometimes struggled due to its complexity. The potential of quantum mechanics is seen in theoretical concepts like wave-particle duality, quantum superposition, and quantum entanglement, suggesting new pathways for advanced computational methodologies.

However, integrating quantum computing into the financial sector is not without challenges. Legacy systems' inefficiency and the inherent restrictions of sequential data processing in traditional computational methods -- bottlenecks that hamper system performance -- must be overcome. Also, quantum mechanics itself presents mind-bending paradoxes, such as particles existing simultaneously in multiple states.

The future of quantum computing in finance will not only impact financial markets, but will invite ethical considerations. These may stem from the ability of quantum particles to transmit information instantaneously regardless of distance, potentially transforming how financial information is shared. The industry anticipates a redesigned financial modelling landscape with the integration of quantum mechanics, marking a considerable shift from classical mechanics.
",https://www.innovationnewsnetwork.com/wp-content/uploads/2020/01/inn-logo-mobile-222x48-main-white-01.png
