URL,Summary,Image_URL
https://www.cryptopolitan.com/quantum-computing-key-greener-ai-future/,,
https://arxiv.org/abs/2309.05558v1,"Ben Barber and a team of 12 other researchers have developed a real-time, scalable, fast, and highly resource efficient decoder for quantum computers named the Collision Clustering decoder. The paper claims this decoder overcomes challenges of managing noise in quantum computers and efficiency at scale. The decoder has been implemented on FPGA and ASIC, with FPGA decoding frequency above a megahertz on an 881 qubit surface code and using only 4.5% of the available logical computation elements. The ASIC decoding frequency, on a 1057 qubit surface code, operates above a megahertz as well and consumes 8 mW of power. This decoder could potentially facilitate the realization of fault-tolerant quantum computers.",
https://arxiv.org/abs/2308.06081v1,"A team of researchers including Ismail Yunus Akhalwaya and ten others have developed a Quantum Monte Carlo Integration (QMCI) engine. Funded by the Simons Foundation, the engine uses quantum computing for calculating multi-dimensional integrals frequently used in various scientific and engineering fields, particularly finance. The QMCI engine is developed by Quantinuum and its architecture includes distribution-loading methods, a unique quantum amplitude estimation technique, and a library of statistical quantities. Emphasizing modularity, the engine allows the creation of new quantum algorithms. It also includes a resource mode for precise resource measurement for the generated quantum circuits. The paper providing details about the engine's performance and application in finance was submitted on 11 August 2023.",
https://arxiv.org/abs/2309.05290v1,"Alejandro Mata Ali, Iñigo Perez Delgado, Marina Ristol Roura, and Aitor Moreno Fdez. de Leceta, and Sebastián V. Romero, reportedly developed an algorithm to assist in solving systems of linear equations. The algorithm is based on the HHL methodology and introduces a new concept of qudits, a generalization of qubits with more states. The researchers aim to diminish the number of gates needed and reduce overall resource use via this quantum-inspired strategy. The team takes advantage of tensor networks' capability to perform non-unitary operations like projection and use the algorithm to resolve various complex equations, including the forced damped oscillator and the 2D static heat equation differential equations.",
https://phys.org/news/2023-09-linear-path-efficient-quantum-technologies.html,"Researchers from the University of Stuttgart, in collaboration with the Center for Integrated Quantum Science and Technology (IQST), have exceeded previously assumed upper theoretical limits in quantum computation and communication. The study, led by Prof. Stefanie Barz, explores quantum entanglement to achieve improved efficiencies. Through the use of additional photons with entangled photon pairs, doctoral researchers Matthias Bayerbach and Simone D'Aurelio achieved a 57.9% success rate in Bell-state measurements, significantly surpassing the traditionally assumed limit of 50%. This advance required the use of 48 single-photon detectors operating in near-perfect synchrony. This breakthrough has implications for areas such as long-distance quantum communication. The findings were published in the journal Science Advances.
",https://scx1.b-cdn.net/csz/news/800a/2023/a-linear-path-to-effic.jpg
https://finance.yahoo.com/news/d-wave-demonstrates-state-art-110000145.html,"D-Wave Quantum Inc., the world’s first commercial supplier of quantum computers, has made notable strides in the development of high coherence qubits. The company has recently manufactured and operated fluxonium qubits, exhibiting quantum properties that are on par with the best seen in scientific literature to date. The measured coherence properties of these fluxonium qubits show relaxation times exceeding 100 microseconds, equivalent to the current state-of-the-art for such qubits. With an effective temperature of 18 millikelvin, D-Wave's fluxonium exhibits one of the best results reported in superconducting qubits. The quantum computing pioneer believes that fluxonium is a viable candidate for D-Wave's gate model quantum computing architectures. This development could significantly impact D-Wave’s hardware and reinforce its technical leadership in quantum technology.",
https://www.prnewswire.com/news-releases/infleqtion-unveils-open-beta-release-of-superstaq-accelerating-quantum-computing-performance-301924782.html,"Infleqtion, the quantum information solution provider, has launched an open beta release of Superstaq. This development is aimed at accelerating the performance of quantum computing. The news from September 12, 2023, reflects significant progress in the realm of quantum technology.",
https://www.rand.org/blog/2023/09/when-a-quantum-computer-is-able-to-break-our-encryption.html,"A breakthrough in Quantum Computing was reached on October 23, 2019, when Google announced its quantum computer solved a mathematical problem faster than any supercomputer. While this achievement is similar in importance to the Wright Brothers' first flight, pundits deem it impossible to maintain secrecy around such advancements in quantum computing, as demonstrated when the paper detailing Google's accomplishment was inadvertently posted by NASA. A significant concern in the field is around Shor's Algorithm, which could allow quantum computers to break nearly all current Internet encryption, with far-reaching consequences. Current quantum computers can't execute Shor's Algorithm efficiently and experts estimate that relevant quantum computers might only be developed by the 2030s. In response to this threat, the US National Institute of Standards and Technology (NIST) is developing post-quantum cryptography (PQC) protocols, and the US government has initiated transitioning processes to PQCs with a goal to mitigate quantum risk by 2035. Yet, experts argue that awareness about the existence of cryptanalytically relevant quantum computers (CRQCs) will define the severity of the threat they pose.",https://www.rand.org/content/rand/pubs/research_briefs/RBA2517-1/_jcr_content/par/teaser.crop.375x280.cm.jpeg/1694635897584.jpeg
https://www.forbes.com/sites/michaeltnietzel/2023/09/13/nsf-investing-76-million-in-four-university-based-physics-frontier-centers/,"The US National Science Foundation (NSF) is investing $76 million in four physics centers at various universities as part of groundbreaking research in physics. The funding ranges from $14 million to $25 million over a six-year period for the centers at the University of Chicago, the California Institute of Technology (CalTech), the University of Colorado and the Massachusetts Institute of Technology (MIT). Apart from research activities, these centers will also provide training for students and researchers, mentorship, and activities to encourage school students to consider a career in science. The University of Chicago's new NSF Physics Frontiers Center for Living Systems, led by Margaret Gardel, will focus on how living matter can store, retrieve and process information. CalTech's Institute for Quantum Information and Matter aims to create new quantum materials and develop algorithms for quantum computing and cryptography. The Comprehension and Control of Emerging Complexity at the Quantum Frontier based at the University of Colorado will explore quantum systems, develop light sources to control quantum properties, and work on ways to engineer the quantum states of complex molecules. Finally, the MIT's Center for UltraCold Atoms, a joint effort with Harvard University, will focus on gaining greater control and programmability of complex quantum systems.",
https://www.mckinsey.com/industries/automotive-and-assembly/our-insights/gearing-up-for-mobilitys-future-with-quantum-computing,"Quantum computing (QC), predicted to have widespread commercial application within five to ten years, could significantly enhance the mobility sector. McKinsey analysts predict rapidly increasing demand for electric vehicles (EVs), with sales expected to grow sixfold from 2021 to 2030. Advancements in battery technology, autonomous vehicles, and a shift towards greener modes of transport factor into this prediction. Almost $280 billion has been invested in automotive hardware and software solutions since 2010. The influence of QC could enable more efficient exchanges of large datasets, enhancing real-time decision-making and overall vehicle performance. McKinsey anticipates the economic value of QC in the automotive sector could range from $29 billion to $63 billion by 2035. Essential uses of QC in this context could include optimization algorithms, simulations, and data-driven risk analysis. Scarlett Gao, Timo Möller, Niko Mohr, Alexia Pastré, and Felix Ziegler contributed to this research.
",
